[16:52:44]   dism[install]: Installing 32 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROAVF\iavf65.inf: The driver package was successfully installed.
[16:52:44]   dism[install]: Installing 33 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROCGB\icea65.inf: The driver package was successfully installed.
[16:52:45]   dism[install]: Installing 34 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROCGB\old\icea65.inf: The driver package was successfully installed.
[16:52:45]   dism[install]: Installing 35 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROXGB\ixn65x64.inf: The driver package was successfully installed.
[16:52:45]   dism[install]: Installing 36 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROXGB\ixs65x64.inf: The driver package was successfully installed.
[16:52:46]   dism[install]: Installing 37 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROXGB\ixt65x64.inf: The driver package was successfully installed.
[16:52:46]   dism[install]: Installing 38 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROXGB\sxa65x64.inf: The driver package was successfully installed.
[16:52:46]   dism[install]: Installing 39 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROXGB\sxb65x64.inf: The driver package was successfully installed.
[16:52:46]   dism[install]: Installing 40 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROXGB\Universal\ixn65x64.inf: The driver package was successfully installed.
[16:52:47]   dism[install]: Installing 41 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROXGB\Universal\ixs65x64.inf: The driver package was successfully installed.
[16:52:47]   dism[install]: Installing 42 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROXGB\Universal\ixt65x64.inf: The driver package was successfully installed.
[16:52:47]   dism[install]: Installing 43 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROXGB\vxn65x64.inf: The driver package was successfully installed.
[16:52:48]   dism[install]: Installing 44 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PROXGB\vxs65x64.inf: The driver package was successfully installed.
[16:52:48]   dism[install]: Installing 45 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\RTL8150_5.126.0411.2008\NET8150.INF: The driver package was successfully installed.
[16:52:48]   dism[install]: Installing 46 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\Acer_12.19.1.35\e1d68x64.inf: The driver package was successfully installed.
[16:52:49]   dism[install]: Installing 47 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\Asus_1.1.4.43\e2f.inf: The driver package was successfully installed.
[16:52:49]   dism[install]: Installing 48 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\Dell_12.18.9.23\e1d.inf: The driver package was successfully installed.
[16:52:49]   dism[install]: Installing 49 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\Dell_12.18.9.23\E1D68x64.inf: The driver package was successfully installed.
[16:52:50]   dism[install]: Installing 50 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\Dell_12.18.9.23\E1R68x64.inf: The driver package was successfully installed.
[16:52:50]   dism[install]: Installing 51 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\e1d.inf: The driver package was successfully installed.
[16:52:50]   dism[install]: Installing 52 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\e1d68x64.inf: The driver package was successfully installed.
[16:52:50]   dism[install]: Installing 53 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\e1r68x64.inf: The driver package was successfully installed.
[16:52:51]   dism[install]: Installing 54 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\e1s68x64.inf: The driver package was successfully installed.
[16:52:51]   dism[install]: Installing 55 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\HP_12.19.1.37\E1D\e1d68x64.inf: The driver package was successfully installed.
[16:52:51]   dism[install]: Installing 56 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\HP_12.19.1.37\E1R\e1r68x64.inf: The driver package was successfully installed.
[16:52:52]   dism[install]: Installing 57 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\HP_12.19.1.37\E2F\e2f68.inf: The driver package was successfully installed.
[16:52:52]   dism[install]: Installing 58 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\I21x_14.0.2.0\e1r68x64.inf: The driver package was successfully installed.
[16:52:52]   dism[install]: Installing 59 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\RTM\e1d.inf: The driver package was successfully installed.
[16:52:53]   dism[install]: Installing 60 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO1000\v1q68x64.inf: The driver package was successfully installed.
[16:52:53]   dism[install]: Installing 61 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO2500\1.0.1.7\e2f68.inf: The driver package was successfully installed.
[16:52:53]   dism[install]: Installing 62 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO2500\1.1.3.28\e2f.inf: The driver package was successfully installed.
[16:52:54]   dism[install]: Installing 63 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO2500\1.1.4.38\e2f.inf: The driver package was successfully installed.
[16:52:54]   dism[install]: Installing 64 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO2500\e2f.inf: The driver package was successfully installed.
[16:52:54]   dism[install]: Installing 65 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO40GB\i40ea68.inf: The driver package was successfully installed.
[16:52:54]   dism[install]: Installing 66 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PRO40GB\i40eb68.inf: The driver package was successfully installed.
[16:52:55]   dism[install]: Installing 67 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROAVF\iavf68.inf: The driver package was successfully installed.
[16:52:55]   dism[install]: Installing 68 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROCGB\icea68.inf: The driver package was successfully installed.
[16:52:55]   dism[install]: Installing 69 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROCGB\iceb68.inf: The driver package was successfully installed.
[16:52:56]   dism[install]: Installing 70 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROCGB\old\icea68.inf: The driver package was successfully installed.
[16:52:56]   dism[install]: Installing 71 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROCGB\scea68.inf: The driver package was successfully installed.
[16:52:56]   dism[install]: Installing 72 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROXGB\ixn68x64.inf: The driver package was successfully installed.
[16:52:57]   dism[install]: Installing 73 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROXGB\ixs68x64.inf: The driver package was successfully installed.
[16:52:57]   dism[install]: Installing 74 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROXGB\ixt68x64.inf: The driver package was successfully installed.
[16:52:57]   dism[install]: Installing 75 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROXGB\sxa68x64.inf: The driver package was successfully installed.
[16:52:57]   dism[install]: Installing 76 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROXGB\sxb68x64.inf: The driver package was successfully installed.
[16:52:58]   dism[install]: Installing 77 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROXGB\vxn68x64.inf: The driver package was successfully installed.
[16:52:58]   dism[install]: Installing 78 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\-SR-\PROXGB\vxs68x64.inf: The driver package was successfully installed.
[16:52:58]   dism[install]: Installing 79 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\TP-Link\TG-3269\Netrtlx.inf: The driver package was successfully installed.
[16:52:59]   dism[install]: Installing 80 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\USB10_5.23.0126.2018\rtuxp.INF: The driver package was successfully installed.
[16:52:59]   dism[install]: Installing 81 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\USB10_5.9.1222.2015\rtuxp.INF: The driver package was successfully installed.
[16:52:59]   dism[install]: Installing 82 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\1xx5\amd64\adpinv.inf: The driver package was successfully installed.
[16:53:00]   dism[install]: Installing 83 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\320S\adpu320.inf: The driver package was successfully installed.
[16:53:00]   dism[install]: Installing 84 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\81xx\amd64\aar81xx.inf: The driver package was successfully installed.
[16:53:00]   dism[install]: Installing 85 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\94xx\amd64\adp94xx.inf: Error - The driver package contains x64 boot-critical drivers, but the drivers are not properly signed. 
[16:53:01]   dism[install]: Use the /forceunsigned option to install the drivers.
[16:53:01]   dism[install]: Installing 86 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\aarich\aarich.inf: The driver package was successfully installed.
[16:53:01]   dism[install]: Installing 87 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\aarich\aichmgt.inf: The driver package was successfully installed.
[16:53:02]   dism[install]: Installing 88 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\ATA\amd64\adpahci.inf: The driver package was successfully installed.
[16:53:02]   dism[install]: Installing 89 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\ATA\amd64\adpahmgt.inf: The driver package was successfully installed.
[16:53:02]   dism[install]: Installing 90 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\SBS\adpenc.inf: The driver package was successfully installed.
[16:53:03]   dism[install]: Installing 91 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\SBS\arc.inf: The driver package was successfully installed.
[16:53:03]   dism[install]: Installing 92 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\SBS\arcsas_sbs.inf: The driver package was successfully installed.
[16:53:03]   dism[install]: Installing 93 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\SCSI\aacmgt.inf: The driver package was successfully installed.
[16:53:04]   dism[install]: Installing 94 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\SCSI\aacsas.inf: The driver package was successfully installed.
